product_id,current_price,demand,season,season_num,competitor_price,category,category_num,discount,sales_volume
P00047,703.0,68.0,spring,2,273.0,electronics,0,25.0,14
P00048,329.0,183.0,summer,0,405.0,accessories,2,15.0,110
P00049,683.0,296.0,winter,1,800.0,electronics,0,22.0,111
P00050,845.0,135.0,fall,3,867.0,electronics,0,30.0,39
P00051,219.0,43.0,fall,3,196.0,electronics,0,8.0,18
P00052,365.0,44.0,winter,1,878.0,accessories,2,11.0,30
P00053,472.0,146.0,summer,0,612.0,home,3,13.0,67
P00054,586.0,253.0,spring,2,499.0,clothing,1,14.0,80
P00055,799.0,228.0,fall,3,272.0,home,3,21.0,39
P00056,514.0,112.0,summer,0,180.0,home,3,23.0,18
P00057,212.0,113.0,winter,1,204.0,electronics,0,20.0,72
P00058,440.0,244.0,spring,2,302.0,electronics,0,15.0,67
P00059,975.0,299.0,summer,0,605.0,accessories,2,7.0,23
P00060,544.0,30.0,summer,0,435.0,accessories,2,27.0,6
P00061,763.0,31.0,fall,3,185.0,clothing,1,9.0,3
P00062,538.0,54.0,fall,3,946.0,home,3,13.0,33
P00063,290.0,247.0,spring,2,405.0,home,3,16.0,176
P00064,565.0,239.0,summer,0,327.0,clothing,1,2.0,41
P00065,653.0,160.0,winter,1,697.0,electronics,0,30.0,62
P00066,626.0,42.0,winter,1,403.0,accessories,2,3.0,5
P00067,707.0,102.0,spring,2,657.0,clothing,1,15.0,27
P00068,974.0,248.0,summer,0,823.0,home,3,13.0,26
P00069,233.0,99.0,fall,3,170.0,clothing,1,26.0,43
P00070,404.0,178.0,summer,0,224.0,clothing,1,24.0,37
P00071,279.0,147.0,fall,3,868.0,home,3,23.0,129
P00072,760.0,209.0,winter,1,609.0,home,3,13.0,43
P00073,586.0,50.0,spring,2,327.0,accessories,2,15.0,1
P00074,200.0,34.0,spring,2,531.0,accessories,2,7.0,34
P00075,588.0,94.0,spring,2,186.0,home,3,17.0,22
P00076,764.0,53.0,fall,3,269.0,accessories,2,6.0,5
P00077,304.0,215.0,winter,1,779.0,accessories,2,30.0,187
P00078,970.0,48.0,winter,1,150.0,accessories,2,27.0,5
P00079,675.0,213.0,spring,2,870.0,home,3,2.0,88
P00080,901.0,35.0,spring,2,460.0,electronics,0,5.0,5
P00081,600.0,96.0,fall,3,357.0,electronics,0,30.0,19
P00082,928.0,100.0,fall,3,303.0,accessories,2,19.0,14
P00083,754.0,143.0,summer,0,911.0,electronics,0,15.0,53
P00084,360.0,38.0,fall,3,832.0,accessories,2,21.0,40
P00085,400.0,121.0,summer,0,464.0,electronics,0,3.0,59
P00086,468.0,96.0,spring,2,456.0,electronics,0,18.0,44
P00087,469.0,248.0,winter,1,653.0,clothing,1,1.0,127
P00088,654.0,222.0,fall,3,768.0,accessories,2,3.0,90
P00089,660.0,80.0,winter,1,804.0,electronics,0,25.0,32
P00090,925.0,45.0,fall,3,669.0,electronics,0,1.0,9
P00091,450.0,90.0,fall,3,755.0,clothing,1,6.0,53
P00092,900.0,122.0,summer,0,246.0,electronics,0,14.0,13
P00093,494.0,176.0,fall,3,639.0,clothing,1,16.0,82
P00094,923.0,213.0,spring,2,156.0,electronics,0,13.0,23
P00095,918.0,294.0,winter,1,935.0,clothing,1,10.0,56
P00096,947.0,205.0,fall,3,161.0,clothing,1,16.0,13
P00097,536.0,132.0,winter,1,663.0,home,3,4.0,50
P00098,251.0,184.0,winter,1,498.0,accessories,2,22.0,169
P00099,990.0,80.0,winter,1,156.0,home,3,13.0,12
P00100,415.0,111.0,fall,3,649.0,accessories,2,16.0,75
P00101,962.0,172.0,summer,0,624.0,electronics,0,27.0,12
P00102,386.0,244.0,winter,1,673.0,accessories,2,27.0,177
P00103,578.0,146.0,winter,1,206.0,home,3,19.0,34
P00104,691.0,212.0,fall,3,739.0,accessories,2,20.0,69
P00105,239.0,134.0,fall,3,735.0,home,3,1.0,109
P00106,355.0,281.0,spring,2,382.0,accessories,2,6.0,145
P00107,213.0,37.0,spring,2,940.0,electronics,0,3.0,33
P00108,263.0,29.0,summer,0,179.0,electronics,0,7.0,8
P00109,719.0,111.0,summer,0,516.0,accessories,2,29.0,21
P00110,542.0,158.0,summer,0,756.0,accessories,2,29.0,94
P00111,327.0,71.0,summer,0,205.0,electronics,0,30.0,22
P00112,846.0,214.0,winter,1,159.0,accessories,2,0.0,23
P00113,670.0,225.0,fall,3,296.0,clothing,1,9.0,39
P00114,261.0,112.0,spring,2,513.0,electronics,0,0.0,82
P00115,337.0,164.0,winter,1,748.0,electronics,0,0.0,123
P00116,697.0,105.0,fall,3,402.0,home,3,3.0,16
P00117,791.0,172.0,fall,3,848.0,home,3,16.0,42
P00118,590.0,21.0,winter,1,894.0,clothing,1,30.0,10
P00119,873.0,279.0,winter,1,402.0,accessories,2,4.0,29
P00120,617.0,183.0,spring,2,592.0,clothing,1,13.0,61
P00121,487.0,25.0,summer,0,885.0,accessories,2,29.0,22
P00122,577.0,168.0,summer,0,489.0,home,3,5.0,45
P00123,971.0,224.0,spring,2,665.0,accessories,2,6.0,10
P00124,688.0,137.0,spring,2,502.0,home,3,7.0,22
P00125,429.0,108.0,summer,0,773.0,electronics,0,23.0,72
P00126,239.0,173.0,winter,1,854.0,electronics,0,17.0,151
P00127,226.0,186.0,summer,0,802.0,accessories,2,27.0,170
P00128,333.0,180.0,fall,3,472.0,home,3,3.0,108
P00129,399.0,289.0,fall,3,289.0,clothing,1,22.0,82
P00130,978.0,75.0,spring,2,594.0,home,3,24.0,1
P00131,231.0,247.0,summer,0,244.0,home,3,24.0,155
P00132,246.0,168.0,summer,0,702.0,home,3,26.0,147
P00133,701.0,65.0,fall,3,569.0,electronics,0,2.0,12
P00134,605.0,163.0,summer,0,663.0,home,3,27.0,73
P00135,772.0,257.0,spring,2,939.0,accessories,2,22.0,74
P00136,926.0,291.0,spring,2,299.0,electronics,0,3.0,24
P00137,297.0,139.0,fall,3,702.0,electronics,0,24.0,111
P00138,882.0,239.0,summer,0,500.0,electronics,0,22.0,17
P00139,924.0,27.0,summer,0,265.0,home,3,15.0,4
P00140,745.0,294.0,fall,3,781.0,clothing,1,12.0,86
P00141,937.0,85.0,winter,1,386.0,home,3,28.0,11
P00142,811.0,98.0,winter,1,419.0,home,3,21.0,17
P00143,660.0,105.0,summer,0,440.0,clothing,1,24.0,17
P00144,841.0,143.0,spring,2,583.0,home,3,22.0,19
P00145,967.0,221.0,winter,1,158.0,accessories,2,10.0,13
P00146,203.0,169.0,summer,0,900.0,clothing,1,23.0,163
P00147,416.0,65.0,winter,1,779.0,accessories,2,10.0,39
P00148,701.0,132.0,fall,3,624.0,accessories,2,4.0,35
P00149,965.0,110.0,winter,1,671.0,electronics,0,19.0,4
P00150,596.0,160.0,winter,1,686.0,electronics,0,0.0,61
P00151,993.0,237.0,fall,3,834.0,clothing,1,13.0,15
P00152,591.0,96.0,spring,2,886.0,home,3,23.0,49
P00153,405.0,171.0,summer,0,160.0,accessories,2,21.0,52
P00154,213.0,258.0,spring,2,762.0,home,3,19.0,230
P00155,752.0,134.0,spring,2,926.0,accessories,2,18.0,42
P00156,659.0,113.0,winter,1,476.0,electronics,0,4.0,26
P00157,889.0,67.0,summer,0,744.0,electronics,0,19.0,10
P00158,773.0,210.0,winter,1,425.0,electronics,0,26.0,34
P00159,941.0,31.0,fall,3,519.0,clothing,1,26.0,4
P00160,439.0,175.0,spring,2,639.0,accessories,2,22.0,112
P00161,762.0,191.0,spring,2,494.0,home,3,5.0,14
P00162,294.0,196.0,fall,3,922.0,accessories,2,18.0,162
P00163,932.0,76.0,summer,0,517.0,home,3,11.0,1
P00164,683.0,222.0,spring,2,882.0,home,3,25.0,86
P00165,605.0,204.0,spring,2,460.0,home,3,28.0,55
P00166,429.0,140.0,summer,0,880.0,accessories,2,26.0,100
P00167,947.0,245.0,winter,1,750.0,electronics,0,27.0,25
P00168,853.0,221.0,fall,3,634.0,clothing,1,13.0,36
P00169,369.0,235.0,summer,0,164.0,clothing,1,16.0,64
P00170,739.0,62.0,fall,3,907.0,electronics,0,29.0,15
P00171,234.0,42.0,fall,3,837.0,clothing,1,6.0,39
P00172,723.0,174.0,spring,2,153.0,home,3,20.0,26
P00173,358.0,205.0,summer,0,525.0,clothing,1,0.0,128
P00174,897.0,268.0,fall,3,518.0,accessories,2,16.0,32
P00175,441.0,256.0,winter,1,614.0,electronics,0,5.0,143
P00176,284.0,153.0,fall,3,682.0,electronics,0,3.0,122
P00177,994.0,41.0,spring,2,869.0,electronics,0,13.0,5
P00178,776.0,107.0,winter,1,286.0,electronics,0,7.0,14
P00179,880.0,172.0,winter,1,512.0,accessories,2,17.0,12
P00180,755.0,144.0,summer,0,365.0,home,3,19.0,32
P00181,772.0,98.0,winter,1,517.0,home,3,27.0,1
P00182,844.0,70.0,summer,0,266.0,home,3,12.0,4
P00183,994.0,235.0,summer,0,328.0,clothing,1,7.0,11
P00184,226.0,195.0,winter,1,395.0,home,3,30.0,178
P00185,818.0,272.0,summer,0,277.0,clothing,1,30.0,26
P00186,754.0,265.0,summer,0,507.0,accessories,2,27.0,37
P00187,538.0,246.0,winter,1,227.0,clothing,1,23.0,54
P00188,996.0,125.0,spring,2,890.0,home,3,15.0,7
P00189,529.0,212.0,fall,3,442.0,electronics,0,4.0,64
P00190,838.0,55.0,summer,0,923.0,accessories,2,2.0,11
P00191,704.0,223.0,summer,0,231.0,home,3,12.0,30
P00192,546.0,286.0,winter,1,491.0,home,3,14.0,99
P00193,671.0,287.0,fall,3,487.0,home,3,3.0,51
P00194,429.0,189.0,fall,3,727.0,accessories,2,2.0,120
P00195,388.0,58.0,summer,0,245.0,electronics,0,26.0,17
P00196,423.0,158.0,winter,1,294.0,electronics,0,1.0,38
P00197,583.0,71.0,spring,2,726.0,electronics,0,29.0,34
P00198,575.0,160.0,fall,3,670.0,home,3,3.0,62
P00199,481.0,165.0,spring,2,546.0,clothing,1,24.0,89
P00200,831.0,203.0,winter,1,506.0,home,3,5.0,24
P00201,826.0,171.0,spring,2,335.0,electronics,0,3.0,17
P00202,943.0,220.0,winter,1,819.0,accessories,2,16.0,31
P00203,457.0,147.0,summer,0,692.0,clothing,1,29.0,103
P00204,557.0,272.0,spring,2,300.0,clothing,1,6.0,47
P00205,908.0,285.0,summer,0,468.0,home,3,17.0,30
P00206,654.0,207.0,summer,0,903.0,accessories,2,27.0,93
P00207,609.0,249.0,winter,1,817.0,clothing,1,21.0,112
P00208,847.0,290.0,spring,2,208.0,electronics,0,9.0,26
P00209,516.0,278.0,fall,3,159.0,home,3,16.0,61
P00210,875.0,217.0,spring,2,273.0,home,3,28.0,24
P00211,423.0,75.0,fall,3,505.0,electronics,0,22.0,49
P00212,432.0,222.0,summer,0,495.0,electronics,0,3.0,114
P00213,882.0,290.0,summer,0,943.0,electronics,0,26.0,63
P00214,862.0,128.0,winter,1,386.0,clothing,1,18.0,9
P00215,572.0,135.0,fall,3,482.0,accessories,2,25.0,53
P00216,870.0,111.0,spring,2,166.0,clothing,1,6.0,7
P00217,806.0,157.0,winter,1,573.0,accessories,2,12.0,26
P00218,670.0,76.0,winter,1,473.0,home,3,2.0,4
P00219,431.0,69.0,winter,1,172.0,accessories,2,7.0,23
P00220,890.0,90.0,spring,2,608.0,electronics,0,10.0,1
P00221,311.0,101.0,winter,1,609.0,clothing,1,15.0,78
P00222,695.0,124.0,spring,2,670.0,electronics,0,19.0,31
P00223,640.0,107.0,winter,1,868.0,home,3,18.0,53
P00224,762.0,21.0,fall,3,706.0,clothing,1,22.0,2
P00225,466.0,103.0,summer,0,570.0,clothing,1,22.0,58
P00226,708.0,62.0,fall,3,552.0,electronics,0,8.0,14
P00227,584.0,173.0,fall,3,480.0,clothing,1,9.0,41
P00228,585.0,113.0,winter,1,606.0,electronics,0,22.0,49
P00229,311.0,152.0,fall,3,632.0,accessories,2,5.0,115
P00230,811.0,84.0,fall,3,647.0,home,3,2.0,21
P00231,823.0,276.0,fall,3,176.0,electronics,0,19.0,35
P00232,279.0,232.0,winter,1,546.0,home,3,7.0,179
P00233,897.0,167.0,spring,2,337.0,clothing,1,5.0,13
P00234,311.0,80.0,summer,0,289.0,home,3,24.0,40
P00235,200.0,168.0,summer,0,670.0,home,3,7.0,149
P00236,840.0,107.0,spring,2,895.0,home,3,13.0,28
P00237,418.0,297.0,spring,2,241.0,clothing,1,7.0,63
P00238,764.0,101.0,fall,3,226.0,accessories,2,10.0,18
P00239,934.0,148.0,summer,0,393.0,accessories,2,9.0,13
P00240,423.0,299.0,spring,2,816.0,accessories,2,25.0,218
P00241,583.0,289.0,fall,3,879.0,electronics,0,22.0,150
P00242,601.0,222.0,summer,0,946.0,electronics,0,9.0,110
P00243,836.0,43.0,winter,1,811.0,clothing,1,10.0,4
P00244,328.0,227.0,winter,1,237.0,accessories,2,0.0,69
P00245,251.0,299.0,summer,0,767.0,home,3,14.0,258
P00246,882.0,224.0,summer,0,443.0,accessories,2,4.0,26
P00247,928.0,171.0,winter,1,244.0,electronics,0,13.0,19
P00248,870.0,45.0,winter,1,402.0,clothing,1,22.0,1
P00249,908.0,213.0,summer,0,700.0,accessories,2,25.0,38
P00250,614.0,257.0,fall,3,548.0,electronics,0,24.0,91
P00251,445.0,94.0,spring,2,916.0,electronics,0,27.0,63
P00252,637.0,182.0,spring,2,203.0,home,3,19.0,30
P00253,401.0,48.0,summer,0,392.0,accessories,2,7.0,25
P00254,382.0,184.0,spring,2,259.0,home,3,16.0,44
P00255,321.0,205.0,winter,1,915.0,accessories,2,3.0,155
P00256,599.0,73.0,winter,1,773.0,clothing,1,3.0,31
P00257,965.0,61.0,spring,2,835.0,accessories,2,17.0,14
P00258,492.0,157.0,summer,0,850.0,home,3,26.0,101
P00259,478.0,206.0,winter,1,370.0,home,3,26.0,56
P00260,808.0,223.0,fall,3,910.0,electronics,0,18.0,63
P00261,396.0,61.0,fall,3,713.0,accessories,2,2.0,46
P00262,709.0,45.0,winter,1,311.0,accessories,2,8.0,6
P00263,950.0,75.0,winter,1,184.0,clothing,1,6.0,6
P00264,342.0,272.0,spring,2,186.0,electronics,0,1.0,66
P00265,807.0,141.0,summer,0,772.0,home,3,8.0,28
P00266,399.0,125.0,spring,2,519.0,accessories,2,23.0,89
P00267,322.0,149.0,summer,0,326.0,electronics,0,5.0,71
P00268,385.0,177.0,fall,3,670.0,clothing,1,5.0,122
P00269,524.0,250.0,fall,3,424.0,electronics,0,27.0,86
P00270,662.0,110.0,summer,0,782.0,accessories,2,15.0,38
P00271,547.0,41.0,spring,2,254.0,accessories,2,1.0,3
P00272,969.0,129.0,winter,1,305.0,clothing,1,28.0,9
P00273,858.0,68.0,summer,0,485.0,clothing,1,15.0,10
P00274,962.0,148.0,spring,2,175.0,clothing,1,2.0,11
P00275,601.0,92.0,fall,3,445.0,home,3,21.0,31
P00276,544.0,72.0,winter,1,686.0,electronics,0,29.0,33
P00277,709.0,187.0,fall,3,504.0,electronics,0,15.0,30
P00278,345.0,64.0,summer,0,218.0,electronics,0,11.0,20
P00279,346.0,124.0,fall,3,476.0,home,3,2.0,67
P00280,909.0,169.0,fall,3,300.0,electronics,0,10.0,12
P00281,687.0,165.0,summer,0,726.0,clothing,1,10.0,51
P00282,838.0,223.0,winter,1,811.0,electronics,0,22.0,48
P00283,749.0,186.0,summer,0,469.0,home,3,29.0,24
P00284,536.0,220.0,spring,2,906.0,home,3,15.0,114
P00285,839.0,153.0,summer,0,601.0,electronics,0,4.0,26
P00286,977.0,230.0,summer,0,719.0,home,3,19.0,27
P00287,671.0,67.0,winter,1,817.0,home,3,7.0,16
P00288,349.0,145.0,spring,2,261.0,electronics,0,10.0,51
P00289,613.0,258.0,fall,3,784.0,home,3,10.0,107
P00290,496.0,26.0,fall,3,611.0,home,3,17.0,16
P00291,809.0,291.0,fall,3,511.0,electronics,0,18.0,36
P00292,461.0,56.0,fall,3,352.0,clothing,1,9.0,9
P00293,962.0,230.0,winter,1,636.0,clothing,1,27.0,21
P00294,342.0,184.0,spring,2,629.0,home,3,3.0,127
P00295,544.0,144.0,winter,1,153.0,accessories,2,27.0,17
P00296,822.0,211.0,summer,0,278.0,accessories,2,9.0,24
P00297,770.0,237.0,spring,2,175.0,electronics,0,13.0,22
P00298,200.0,233.0,spring,2,950.0,electronics,0,5.0,205
P00299,502.0,81.0,fall,3,176.0,clothing,1,30.0,17
P00300,452.0,180.0,fall,3,191.0,accessories,2,4.0,39
P00301,850.0,85.0,fall,3,732.0,electronics,0,14.0,17
P00302,651.0,258.0,fall,3,213.0,accessories,2,4.0,41
P00303,235.0,39.0,summer,0,174.0,accessories,2,22.0,12
P00304,358.0,207.0,fall,3,221.0,home,3,23.0,60
P00305,207.0,101.0,winter,1,631.0,home,3,5.0,85
P00306,431.0,221.0,spring,2,417.0,accessories,2,30.0,99
P00307,297.0,151.0,summer,0,244.0,clothing,1,29.0,70
P00308,857.0,56.0,summer,0,544.0,electronics,0,18.0,5
P00309,406.0,151.0,spring,2,513.0,electronics,0,19.0,88
P00310,329.0,96.0,spring,2,464.0,clothing,1,29.0,69
P00311,602.0,108.0,spring,2,266.0,home,3,16.0,20
P00312,350.0,272.0,summer,0,313.0,home,3,13.0,128
P00313,252.0,213.0,winter,1,939.0,clothing,1,10.0,173
P00314,318.0,195.0,winter,1,726.0,clothing,1,13.0,142
P00315,871.0,52.0,spring,2,455.0,home,3,4.0,5
P00316,826.0,77.0,summer,0,921.0,accessories,2,12.0,23
P00317,785.0,220.0,fall,3,889.0,home,3,30.0,57
P00318,823.0,47.0,summer,0,349.0,accessories,2,11.0,7
P00319,618.0,54.0,spring,2,881.0,electronics,0,25.0,18
P00320,620.0,144.0,summer,0,329.0,electronics,0,23.0,30
P00321,302.0,61.0,summer,0,507.0,accessories,2,18.0,47
P00322,452.0,104.0,summer,0,889.0,accessories,2,9.0,63
P00323,425.0,207.0,fall,3,401.0,home,3,12.0,81
P00324,310.0,130.0,spring,2,448.0,clothing,1,14.0,101
P00325,708.0,290.0,spring,2,579.0,accessories,2,19.0,79
P00326,671.0,124.0,spring,2,153.0,electronics,0,12.0,14
P00327,297.0,60.0,winter,1,802.0,home,3,3.0,40
P00328,351.0,234.0,winter,1,827.0,electronics,0,21.0,183
P00329,536.0,90.0,spring,2,403.0,home,3,8.0,21
P00330,904.0,75.0,summer,0,814.0,clothing,1,25.0,11
P00331,361.0,255.0,summer,0,728.0,clothing,1,18.0,196
P00332,918.0,300.0,spring,2,716.0,electronics,0,19.0,47
P00333,879.0,124.0,fall,3,245.0,accessories,2,21.0,19
P00334,359.0,181.0,fall,3,316.0,accessories,2,21.0,79
P00335,778.0,210.0,summer,0,480.0,electronics,0,6.0,29
P00336,999.0,28.0,summer,0,211.0,accessories,2,14.0,1
P00337,596.0,79.0,winter,1,323.0,accessories,2,16.0,15
P00338,475.0,244.0,fall,3,402.0,electronics,0,13.0,84
P00339,702.0,207.0,summer,0,610.0,electronics,0,13.0,57
P00340,590.0,89.0,summer,0,773.0,clothing,1,8.0,42
P00341,333.0,188.0,spring,2,364.0,electronics,0,15.0,107
P00342,393.0,81.0,winter,1,388.0,clothing,1,1.0,38
P00343,599.0,33.0,fall,3,564.0,clothing,1,13.0,9
P00344,838.0,183.0,fall,3,888.0,home,3,3.0,44
P00345,231.0,264.0,winter,1,891.0,accessories,2,2.0,218
P00346,886.0,27.0,summer,0,894.0,electronics,0,2.0,4
P00347,658.0,173.0,fall,3,824.0,accessories,2,10.0,66
P00348,668.0,55.0,fall,3,275.0,home,3,4.0,13
P00349,573.0,67.0,fall,3,402.0,electronics,0,15.0,19
P00350,220.0,104.0,spring,2,860.0,electronics,0,22.0,93
P00351,948.0,47.0,winter,1,346.0,home,3,28.0,1
P00352,868.0,215.0,fall,3,783.0,accessories,2,27.0,38
P00353,236.0,227.0,winter,1,562.0,clothing,1,22.0,200
P00354,428.0,223.0,summer,0,605.0,home,3,29.0,142
P00355,563.0,123.0,winter,1,925.0,home,3,29.0,75
P00356,761.0,249.0,spring,2,203.0,electronics,0,22.0,31
P00357,636.0,120.0,spring,2,796.0,clothing,1,18.0,51
P00358,974.0,48.0,winter,1,488.0,home,3,8.0,2
P00359,481.0,146.0,spring,2,508.0,accessories,2,21.0,68
P00360,225.0,29.0,fall,3,300.0,home,3,10.0,22
P00361,424.0,125.0,spring,2,249.0,accessories,2,11.0,34
P00362,475.0,186.0,summer,0,383.0,electronics,0,26.0,66
P00363,996.0,276.0,winter,1,693.0,home,3,25.0,7
P00364,807.0,296.0,winter,1,211.0,accessories,2,26.0,36
P00365,482.0,84.0,summer,0,345.0,electronics,0,7.0,29
P00366,679.0,290.0,summer,0,691.0,electronics,0,13.0,97
P00367,651.0,207.0,summer,0,904.0,electronics,0,30.0,97
P00368,857.0,157.0,summer,0,255.0,home,3,29.0,23
P00369,714.0,124.0,fall,3,444.0,electronics,0,16.0,22
P00370,745.0,53.0,spring,2,794.0,electronics,0,19.0,21
P00371,390.0,129.0,spring,2,600.0,accessories,2,14.0,78
P00372,247.0,52.0,fall,3,683.0,electronics,0,14.0,44
P00373,710.0,250.0,summer,0,305.0,home,3,22.0,39
P00374,215.0,285.0,winter,1,555.0,clothing,1,11.0,247
P00375,370.0,201.0,winter,1,875.0,electronics,0,8.0,142
P00376,418.0,84.0,winter,1,887.0,home,3,11.0,58
P00377,356.0,20.0,summer,0,946.0,electronics,0,18.0,7
P00378,675.0,152.0,fall,3,832.0,home,3,11.0,58
P00379,244.0,99.0,fall,3,703.0,electronics,0,10.0,79
P00380,571.0,290.0,fall,3,721.0,accessories,2,27.0,128
P00381,716.0,260.0,spring,2,524.0,clothing,1,5.0,45
P00382,297.0,47.0,spring,2,738.0,clothing,1,7.0,44
P00383,943.0,242.0,spring,2,604.0,home,3,10.0,9
P00384,235.0,42.0,spring,2,351.0,home,3,2.0,29
P00385,478.0,128.0,winter,1,881.0,clothing,1,15.0,72
P00386,547.0,126.0,winter,1,601.0,accessories,2,5.0,52
P00387,695.0,164.0,fall,3,336.0,accessories,2,8.0,28
P00388,500.0,158.0,spring,2,757.0,electronics,0,8.0,82
P00389,379.0,118.0,fall,3,873.0,accessories,2,5.0,81
P00390,805.0,142.0,summer,0,517.0,clothing,1,4.0,15
P00391,297.0,100.0,spring,2,489.0,clothing,1,0.0,76
P00392,898.0,29.0,spring,2,411.0,accessories,2,2.0,1
P00393,314.0,27.0,fall,3,738.0,accessories,2,30.0,21
P00394,389.0,224.0,fall,3,692.0,clothing,1,2.0,154
P00395,451.0,216.0,summer,0,700.0,clothing,1,11.0,125
P00396,359.0,217.0,fall,3,455.0,clothing,1,3.0,123
P00397,454.0,49.0,spring,2,875.0,clothing,1,20.0,34
P00398,521.0,39.0,winter,1,787.0,clothing,1,15.0,33
P00399,326.0,67.0,summer,0,314.0,accessories,2,10.0,27
P00400,216.0,149.0,summer,0,907.0,accessories,2,7.0,130
P00401,991.0,151.0,spring,2,770.0,electronics,0,28.0,8
P00402,933.0,73.0,winter,1,237.0,electronics,0,26.0,1
P00403,764.0,300.0,fall,3,349.0,home,3,8.0,35
P00404,768.0,284.0,fall,3,420.0,electronics,0,27.0,41
P00405,521.0,234.0,winter,1,200.0,accessories,2,29.0,48
P00406,884.0,62.0,winter,1,638.0,electronics,0,13.0,8
P00407,990.0,93.0,spring,2,347.0,electronics,0,22.0,2
P00408,824.0,297.0,fall,3,172.0,accessories,2,28.0,36
P00409,486.0,261.0,spring,2,814.0,clothing,1,25.0,157
P00410,861.0,149.0,fall,3,372.0,accessories,2,21.0,9
P00411,837.0,213.0,fall,3,370.0,accessories,2,14.0,20
P00412,353.0,51.0,winter,1,812.0,home,3,18.0,42
P00413,688.0,125.0,spring,2,415.0,home,3,8.0,19
P00414,584.0,223.0,winter,1,222.0,home,3,25.0,39
P00415,983.0,20.0,spring,2,226.0,clothing,1,16.0,1
P00416,302.0,264.0,fall,3,693.0,electronics,0,8.0,211
P00417,591.0,91.0,summer,0,584.0,home,3,2.0,38
P00418,444.0,34.0,summer,0,214.0,accessories,2,24.0,11
P00419,374.0,72.0,spring,2,506.0,home,3,15.0,47
P00420,237.0,27.0,spring,2,167.0,accessories,2,12.0,1
P00421,675.0,65.0,winter,1,825.0,clothing,1,25.0,28
P00422,880.0,133.0,fall,3,948.0,home,3,16.0,35
P00423,957.0,166.0,summer,0,715.0,accessories,2,23.0,22
P00424,736.0,185.0,winter,1,724.0,electronics,0,21.0,57
P00425,606.0,158.0,spring,2,918.0,clothing,1,29.0,72
P00426,723.0,136.0,fall,3,900.0,accessories,2,24.0,45
P00427,704.0,295.0,winter,1,585.0,electronics,0,3.0,65
P00428,234.0,296.0,winter,1,590.0,electronics,0,27.0,267
